,CH1,CH2,CH3,CH4
,15.7529,514.843,519.902,4.11765
,15.7676,514.843,520.098,4.21569
,15.7652,515.333,520.735,4.55882
,15.748,515.873,520.98,4.31373
,15.7088,516.559,521.324,4.21569
,15.7382,517.049,521.52,4.5098
,15.7407,517.441,521.814,4.26471
,15.775,517.686,522.5,4.5098
,15.7554,518.373,523.137,4.31373
,15.7652,518.863,523.529,4.26471
,15.7235,519.353,524.02,3.92157
,15.726,520.137,524.412,4.01961
,15.7211,520.578,524.853,4.31373
,15.726,520.824,525.637,4.26471
,15.7284,521.363,525.882,4.31373
,15.7529,521.755,526.029,3.82353
,15.7358,522.245,526.765,4.21569
,15.748,522.49,527.255,4.41176
,15.7064,523.029,527.255,4.16667
,15.7162,523.324,527.206,4.36275
,15.7333,523.52,527.402,4.46078
,15.6868,523.569,527.892,4.26471
,15.7211,523.814,528.235,4.21569
,15.7407,524.255,528.725,4.31373
,15.7529,524.745,529.167,4.26471
,15.7113,525.284,529.706,4.16667
,15.7603,525.676,529.804,4.06863
,15.7186,526.118,530.245,4.36275
,15.7137,526.461,530.735,4.60784
,15.7039,526.755,531.324,4.55882
,15.7284,527.245,531.765,4.46078
,15.7627,527.49,532.059,4.41176
,15.726,527.931,532.451,4.46078
,15.7113,528.176,532.5,4.36275
,15.6843,528.52,532.745,4.41176
,15.7039,528.863,533.235,4.41176
,15.7088,529.353,533.431,4.21569
,15.6917,529.353,533.824,4.5098
,15.6966,529.843,533.922,4.46078
,15.7064,529.99,534.265,4.46078
,15.7186,530.137,534.412,4.26471
,15.7382,530.578,534.51,4.5098
,15.7382,530.775,534.608,4.5098
,15.7113,530.824,535.049,4.55882
,15.6966,531.02,535.196,4.41176
,15.699,531.069,535.49,4.31373
,15.7186,531.461,535.686,4.16667
,15.7333,531.804,535.49,4.46078
,15.7015,532.049,535.784,4.85294
,15.6549,532.147,535.931,5
,15.6892,532.441,536.275,4.5098
,15.6941,532.686,536.471,4.55882
,15.7333,532.588,536.667,4.46078
,15.7064,533.422,536.814,4.65686
,15.6917,533.618,536.912,4.55882
,15.6525,533.765,537.01,4.55882
,15.677,533.765,537.402,4.55882
,15.6843,533.863,537.451,4.06863
,15.6868,533.814,537.451,4.46078
,15.6843,533.814,537.549,4.36275
,15.699,533.422,537.941,4.21569
,15.6598,533.569,538.088,4.21569
,15.6966,533.618,538.088,3.77451
,15.6966,533.667,537.941,4.21569
,15.6941,533.667,537.892,4.26471
,15.7015,533.471,537.843,4.26471
,15.6892,533.814,537.696,4.41176
,15.7015,533.863,537.647,4.55882
,15.699,533.814,537.745,4.41176
,15.6917,534.059,537.206,4.46078
,15.6402,533.765,537.157,4.16667
,15.7186,533.863,537.304,4.31373
,15.6819,534.01,537.451,4.16667
,15.6598,533.863,537.108,4.31373
,15.6843,533.912,537.206,4.36275
,15.6672,533.275,537.402,4.26471
,15.6426,533.225,537.108,4.46078
,15.623,532.98,537.255,4.11765
,15.623,533.225,537.304,4.31373
,15.7015,532.931,537.206,4.31373
,15.6843,532.882,537.304,4.16667
,15.6623,532.931,537.059,4.06863
,15.6402,533.078,537.157,3.97059
,15.6672,532.931,537.304,3.92157
,15.6819,532.931,537.059,3.97059
,15.6868,532.784,537.01,3.97059
,15.6941,532.784,536.961,3.72549
,15.6917,532.686,536.765,3.43137
,15.6941,532.98,536.765,3.62745
,15.6304,532.539,537.206,3.87255
,15.6451,532.637,536.863,4.11765
,15.6451,532.931,537.01,3.92157
,15.6402,532.686,536.52,4.26471
,15.6206,532.735,536.52,4.21569
,15.6598,532.637,536.569,4.01961
,15.6304,532.49,536.716,3.82353
,15.6426,532.784,536.716,4.06863
,15.6279,532.784,536.569,4.21569
,15.6206,532.98,536.667,3.87255
,15.6696,532.833,536.667,4.01961
,15.6745,532.833,536.814,3.92157
,15.6426,532.931,536.961,3.92157
,15.6819,533.078,536.863,3.72549
,15.6549,533.324,536.863,4.06863
,15.6255,533.078,537.059,3.97059
,15.6475,533.029,536.961,4.26471
,15.6794,532.931,536.961,3.82353
,15.6623,533.275,536.569,4.01961
,15.6574,533.225,536.863,4.06863
,15.6206,532.931,537.01,4.06863
,15.6304,533.029,537.059,4.11765
,15.6304,533.029,537.255,4.36275
,15.6475,533.078,537.157,4.26471
,15.6157,533.029,537.255,4.41176
,15.6402,533.176,536.961,4.01961
,15.65,533.127,536.961,4.01961
,15.6696,533.471,537.059,4.11765
,15.65,533.52,537.157,3.77451
,15.6304,533.765,537.157,3.87255
,15.5716,533.814,537.304,3.82353
,15.601,533.667,537.353,4.26471
,15.6157,533.912,537.255,4.26471
,15.623,533.912,537.255,4.21569
,15.5912,533.618,537.745,4.21569
,15.6083,533.716,537.794,4.31373
,15.6181,533.765,537.255,3.82353
,15.6108,533.667,537.206,4.36275
,15.574,533.324,537.108,4.41176
,15.5618,533.618,537.696,4.16667
,15.5691,533.716,537.794,4.31373
,15.601,533.569,537.402,4.16667
,15.5912,533.422,537.549,4.01961
,15.5985,533.225,537.304,4.11765
,15.5887,533.373,537.696,4.16667
,15.601,533.127,537.892,4.26471
